CalendarDate,Sony_Percent_Change,Market_Percent_Change,Dow_Percent_Change,Small_Minus_Big,High_Minus_Low
12/31/2002,-6.9646,-5.4416,-6.3426258,-0.52,3.86
1/31/2003,-3.3922,-2.4392,-3.5504048,1.4,-0.9
2/28/2003,-5.0462,-1.629,-2.1105344,-0.27,-1.46
3/31/2003,-7.302,0.9325,1.18055982,0.83,-1.73
4/30/2003,-29.6759,8.1762,6.00550629,1.11,-0.02
5/30/2003,10.4193,6.2571,4.27516594,4.69,0.16
6/30/2003,2.314,1.5335,1.42741275,1.48,0.66
7/31/2003,11.3586,2.2412,2.69402714,5.62,-2.08
8/29/2003,5.539,2.4266,1.90123611,2.65,1.79
9/30/2003,5.8596,-0.9912,-1.5749309,0.57,0.92
10/31/2003,1.0794,5.9618,5.60176924,2.87,1.84
11/28/2003,-2.4848,1.5894,-0.2603864,2.2,1.46
12/31/2003,0.8516,4.4728,6.78391766,-2.78,2.64
1/30/2004,17.1784,2.2348,0.25667172,2.61,1.66
2/27/2004,0.6534,1.4859,0.8538955,-1.15,0.34
3/31/2004,2.3113,-1.1594,-2.2273933,1.87,-0.01
4/30/2004,-8.2359,-2.5031,-1.3556693,-2.56,-1.7
5/28/2004,-4.0444,1.3525,-0.4230115,-0.15,-0.26
6/30/2004,3.1204,2.0782,2.34460826,2.28,1.68
7/30/2004,-9.0356,-3.8667,-2.9342731,-3.82,4.39
8/31/2004,-0.0523,0.1613,0.22738637,-1.54,1.12
9/30/2004,-0.5889,1.9446,-1.0304908,2.85,0.34
10/29/2004,1.2276,1.6705,-0.6337955,0.42,-0.89
11/30/2004,4.1829,4.671,3.84452703,4.11,1.91
12/31/2004,6.9907,3.3579,3.2441937,0.19,-0.36
1/31/2005,-5.1395,-2.8156,-2.8778867,-1.62,2.49
2/28/2005,1.92,2.1072,2.47385682,-0.75,2.78
3/31/2005,6.0075,-1.9035,-2.6479007,-1.3,1.66
4/29/2005,-8.4809,-2.7286,-3.1732246,-3.96,-0.48
5/31/2005,1.2855,3.5555,2.45776532,2.95,-1.16
6/30/2005,-7.8232,0.9234,-2.0691246,2.57,2.75
7/29/2005,-5.844,4.0927,3.32147025,2.76,-0.46
8/31/2005,3.1143,-0.8946,-1.7971464,-0.89,1.42
9/30/2005,-1.233,0.7665,0.54098,-0.63,1.17
10/31/2005,-1.4451,-2.3501,-1.4870844,-1.04,-0.7
11/30/2005,12.5254,3.7285,3.19380792,1,-1.81
12/30/2005,9.9205,0.0255,-1.1377963,-0.48,0.48
1/31/2006,19.5029,3.6533,1.02494752,5.39,1.14
2/28/2006,-4.4709,-0.504,0.84317217,-0.36,-0.83
3/31/2006,-1.8706,1.5355,0.68435893,3.54,-0.07
4/28/2006,5.8696,0.9362,1.96075411,-1.23,3.08
5/31/2006,-8.1333,-3.5348,-2.1791647,-2.99,2.78
6/30/2006,-2.9017,-0.4408,-0.5619762,-0.49,1.5
7/31/2006,4.0278,-0.5904,-0.0819794,-3.94,3.3
8/31/2006,-6.0299,2.0861,1.32750216,0.81,-1.73
9/29/2006,-7.1905,1.5324,2.20766166,-1.21,-0.43
10/31/2006,1.1262,3.3026,3.0291437,1.65,0.48
11/30/2006,-4.2511,1.9505,0.74880354,0.73,0.51
12/29/2006,8.278,0.6833,1.57366537,-0.89,2.54
1/31/2007,7.7318,1.5028,0.83207006,0.06,-0.1
2/28/2007,11.2755,-1.7757,-3.1772482,1.43,0.24
3/30/2007,-2.6212,0.8649,0.26869252,-0.23,0.43
4/30/2007,5.0462,3.5421,5.29530781,-2.09,-0.96
5/31/2007,7.9265,3.4832,3.91315617,-0.06,-0.09
6/29/2007,-11.3705,-1.8756,-2.0071748,0.67,-1.03
7/31/2007,2.2669,-3.5756,-1.8664447,-2.7,-2.93
8/31/2007,-9.8246,0.7456,0.68316463,-0.14,-2.37
9/28/2007,0.4919,3.766,3.70680394,-2.47,-2.13
10/31/2007,2.593,2.2635,-0.0725841,0.09,-1.92
11/30/2007,8.7785,-5.2622,-4.347822,-2.73,-1.02
12/31/2007,0.3414,-0.7119,-1.0694484,0.07,-0.05
1/31/2008,-12.733,-6.4251,-4.8422528,-0.76,3.01
2/29/2008,-0.7405,-2.2953,-3.1652496,-0.55,0.05
3/31/2008,-15.0414,-1.212,-0.1985333,0.86,0.17
4/30/2008,14.105,4.9405,4.37411644,-1.55,0.07
5/30/2008,9.8759,2.2143,-1.5881603,2.84,-0.26
6/30/2008,-13.3671,-8.0134,-10.363681,1.05,-1.06
7/31/2008,-14.0275,-1.483,0.09678392,3.74,3.59
8/29/2008,1.287,0.9364,1.33482254,3.79,1.48
9/30/2008,-18.6051,-9.9505,-6.1523996,-0.23,4.42
10/31/2008,-24.7966,-18.5403,-14.140435,-2.17,-3.07
11/28/2008,-16.6293,-8.4815,-5.3387074,-3.57,-4.99
12/31/2008,12.7583,2.1249,-0.6863276,3.99,-1.18
1/30/2009,-12.1171,-7.7332,-8.836549,-0.9,-9.93
2/27/2009,-13.8497,-10.0284,-11.732865,-0.41,-6.75
3/31/2009,24.5673,8.6593,7.7203612,0.75,2.57
4/30/2009,25.3414,10.9259,7.33926902,5.16,5.68
5/29/2009,1.4308,6.7789,4.06715376,-2.64,0.45
6/30/2009,-1.4106,-0.3098,-0.6273874,2.65,-2.45
7/31/2009,8.1106,8.1618,8.56831183,2.47,4.82
