CASEID,SEX,AGE,RACE,MARITAL,CHILDS,AGEKDBRN,EARNRS,BORN,CLASS,DWELOWN,INCOMECAT,INCOME,RINCOMECAT,RINCOME,EDUC,SPEDU,PAEDU,MAEDUC,DEGREE,SPDEG,PADEG,MADEG,WRKSTAT,SPWRKSTA,HRS1,SPHRS1,WRKSLF,WRKGOVT,TVHOURS,PARTYID,PARTYID3,POLVIEWS,POLVIEWS3,CAPUN,GUNLAW,EQWLTH,HELPPOOR,HELPNOT,HELPSICK,TAX,ODDS1,ODDS2,HOTCORE,EARTHSUN,JOBLOSE,JOBFIND,SATJOB,RICHWORK,JOBINC,JOBSEC,JOBHOURS,JOBPROMO,JOBMEANS,NEWS,HAPPY,HAPMAR,HEALTH,LIFE,UNEMP,UNION,PARSOL,KIDSSOL
57658,2,58,1,1,2,20,2,1,2,,14,"23,750",,,13,12,10,8,1,1,0,0,5,5,,,2,2,,3,2,2,1,,2,2,3,2,2,2,2,1,8,2,,,,,,,,,,,3,2,4,2,2,4,2,1
57659,2,76,1,2,8,18,1,1,2,1,4,"4,500",,,14,,,13,2,,,1,5,0,,,2,2,2,3,2,4,2,1,1,,,,,1,,,,,,,,,3,4,5,1,2,3,2,,1,2,,,,
57660,1,66,2,3,2,28,0,1,3,1,20,"67,500",,,16,,12,11,3,,1,0,5,0,,,2,2,6,0,1,2,1,2,2,,,,,2,,,,,,,,,2,3,4,1,5,1,2,,2,1,,,,
57661,2,62,1,1,1,31,2,1,2,,19,"55,000",15,"27,500",15,14,15,14,2,1,1,1,1,5,40,,2,2,,6,3,6,3,1,1,5,3,5,5,1,,,,,,,1,2,,,,,,,1,1,2,2,2,4,2,2
57662,2,70,2,2,8,17,1,1,1,1,14,"23,750",,,12,,5,12,1,,0,1,7,0,,,2,2,4,2,2,6,3,2,,1,1,1,1,,2,1,8,2,,,2,,1,3,5,2,4,4,2,,,,2,4,2,2
57663,2,53,2,1,2,25,2,1,2,1,20,"67,500",16,"32,500",14,12,14,12,1,1,1,1,1,1,40,40,2,1,1,0,1,4,2,2,,1,1,1,1,,2,1,1,8,1,3,1,,,,,,,3,1,1,,,1,2,1,4
57664,2,83,1,1,2,30,0,1,3,,20,"67,500",,,20,20,12,12,4,4,1,1,4,5,,,1,2,,0,1,1,1,2,1,1,2,3,1,2,,,,,,,1,1,,,,,,,1,2,1,1,2,4,4,2
57665,1,66,1,2,0,,1,1,2,,20,"67,500",14,"23,750",16,,12,12,3,,0,1,2,0,20,,2,2,,1,1,1,1,1,1,3,2,2,2,3,,,,,,,2,2,,,,,,,2,,1,2,2,4,3,5
57666,1,30,2,5,1,18,4,1,2,2,24,"140,000",15,"27,500",12,,16,16,1,,3,3,1,0,40,,2,2,1,2,2,4,2,2,,2,1,2,2,,8,8,1,1,4,3,2,,1,2,5,3,4,5,2,,,,1,4,2,
57667,2,61,1,1,3,28,2,2,3,1,,,,,12,14,,,1,1,0,,2,2,20,,2,2,2,5,3,4,2,1,1,,,,,,,,,,4,3,1,2,1,4,5,3,2,3,2,2,2,2,,,,
57668,2,81,2,1,2,32,2,1,3,1,,,,,12,8,,12,1,0,,1,7,5,,,1,2,5,0,1,4,2,1,,1,1,1,1,,1,2,2,2,,,1,,3,2,5,1,4,4,1,1,,,2,4,1,1
57669,2,71,1,5,0,,0,1,3,1,14,"23,750",,,14,,8,8,1,,0,0,5,0,,,2,2,3,6,3,6,3,1,,7,3,5,2,,2,1,1,1,,,,,2,4,5,3,1,5,3,,,,1,4,1,
57670,2,80,1,2,3,21,2,1,1,2,24,"140,000",,,18,,16,9,4,,1,0,5,0,,,2,1,2,0,1,4,2,1,,1,2,4,3,,2,1,1,1,,,,,2,5,4,3,1,5,2,,,,2,4,1,5
57671,2,74,1,1,1,24,0,1,3,1,22,"100,000",,,17,16,,12,3,3,,1,5,5,,,2,1,4,6,3,5,3,1,,7,3,5,3,,2,1,1,1,,,,,3,5,4,1,2,1,2,2,,,2,1,1,1
57672,1,57,1,1,3,26,3,1,3,1,25,"175,000",25,"175,000",16,13,6,12,3,1,0,1,1,3,40,,1,,1,4,2,6,3,2,2,,,,,1,,,,,4,2,2,2,1,4,3,5,2,5,2,2,1,2,,,,
57673,1,58,1,1,2,17,3,1,3,,24,"140,000",22,"100,000",15,12,12,12,1,1,1,1,1,1,60,40,2,2,,4,2,6,3,1,2,7,3,5,3,1,,,,,,,2,2,,,,,,,2,2,2,1,2,4,1,1
57674,1,47,1,3,3,30,2,1,2,1,19,"55,000",17,"37,500",13,,12,13,1,,1,1,1,0,40,,1,2,1,7,,3,1,1,,6,5,5,5,,2,1,1,1,4,1,1,,,,,,,5,1,,,,1,4,3,3
57675,2,55,1,1,5,19,1,1,3,1,23,"120,000",,,12,16,12,15,1,3,1,1,7,1,,50,2,2,3,3,2,4,2,2,,7,3,3,1,,2,1,1,2,,,1,,,,,,,4,2,2,,,2,4,1,1
57676,1,29,3,1,0,,1,2,3,2,22,"100,000",19,"55,000",16,16,16,16,3,3,3,3,1,1,40,32,2,2,5,1,1,4,2,1,1,,,,,1,,,,,3,3,2,2,2,1,5,3,4,1,2,1,1,1,,,,
57677,1,36,1,1,2,32,3,1,4,1,25,"175,000",20,"67,500",16,18,14,16,3,4,2,3,1,1,40,40,2,2,1,0,1,2,1,1,1,,,,,2,,,,,3,2,1,1,4,2,3,5,1,1,1,1,1,1,,,,
57678,2,44,1,1,4,30,2,1,4,1,25,"175,000",21,"82,500",16,18,18,12,3,4,4,1,1,1,40,40,2,2,3,6,3,6,3,2,,5,5,5,5,,8,8,1,1,4,1,3,,,,,,,1,2,1,,,1,4,1,3
57679,2,43,1,1,3,29,1,1,3,,24,"140,000",,,16,16,16,12,3,3,3,1,7,1,,40,2,2,,6,3,5,3,1,1,7,2,3,3,1,,,,,,,2,,,,,,,,1,1,1,1,2,4,2,3
57680,1,26,1,5,0,,3,1,2,,22,"100,000",18,"45,000",12,,16,12,1,,3,1,1,0,50,,2,2,,4,2,4,2,1,1,7,4,5,5,1,,,,,,,2,1,,,,,,,1,,2,1,2,1,3,3
